Fichier,Nb_POIs,Nb_Locations,Nb_SensorTypes,Faisable,Capteurs_Utilises,Temps_Execution(ms),Generation_Finale,Fitness
1.bmp,40,48,13,Non,3,48,0,0.209615
10.bmp,42,48,10,Non,3,56,5,0.207143
100.bmp,33,48,11,Non,2,45,2,0.181818
101.bmp,42,48,12,Non,4,44,0,0.190476
102.bmp,39,48,10,Non,3,43,1,0.132051
103.bmp,47,48,12,Non,3,49,3,0.257979
104.bmp,46,48,13,Non,3,47,1,0.232441
105.bmp,44,48,12,Non,3,51,2,0.261364
106.bmp,42,48,12,Non,4,46,1,0.166667
107.bmp,30,48,11,Non,2,39,0,0.275758
108.bmp,46,48,11,Non,4,54,3,0.187747
109.bmp,39,48,11,Non,4,54,4,0.177156
11.bmp,45,48,10,Non,3,45,0,0.227778
110.bmp,43,48,11,Non,2,49,3,0.234672
111.bmp,40,48,16,Non,3,61,5,0.131250
112.bmp,45,48,13,Non,3,51,0,0.329060
113.bmp,33,48,11,Non,2,41,0,0.212121
114.bmp,45,48,12,Non,3,52,3,0.208333
115.bmp,41,48,12,Non,3,41,0,0.265244
116.bmp,40,48,13,Non,4,53,4,0.196154
117.bmp,44,48,11,Non,3,44,1,0.204545
118.bmp,41,48,12,Non,4,57,0,0.247967
119.bmp,43,48,11,Non,4,58,6,0.213531
12.bmp,37,48,12,Non,4,50,4,0.211712
120.bmp,45,48,10,Non,3,42,0,0.138889
121.bmp,33,48,10,Non,2,38,0,0.233333
122.bmp,43,48,12,Non,3,50,3,0.200581
123.bmp,38,48,11,Non,2,38,0,0.093301
124.bmp,35,48,12,Non,4,51,3,0.233333
125.bmp,41,48,11,Non,4,46,2,0.159645
126.bmp,38,48,11,Non,3,48,3,0.153110
127.bmp,46,48,10,Non,3,43,1,0.132609
128.bmp,46,48,9,Non,3,45,2,0.159420
129.bmp,35,48,11,Non,3,47,3,0.206494
13.bmp,41,48,10,Non,3,47,3,0.118293
130.bmp,45,48,13,Non,3,56,5,0.262393
131.bmp,40,48,12,Non,4,54,5,0.133333
132.bmp,37,48,14,Non,2,51,5,0.252896
133.bmp,37,48,12,Non,3,45,2,0.145270
134.bmp,45,48,10,Non,3,45,1,0.161111
135.bmp,44,48,11,Non,4,44,0,0.227273
136.bmp,37,48,10,Non,2,39,0,0.143243
137.bmp,43,48,11,Non,4,42,0,0.236786
138.bmp,41,48,12,Non,5,48,2,0.181911
139.bmp,35,48,11,Non,3,43,1,0.263636
14.bmp,41,48,11,Non,4,52,5,0.208426
140.bmp,45,48,11,Non,3,44,1,0.152525
141.bmp,33,48,10,Non,3,39,0,0.183333
142.bmp,35,48,10,Non,3,39,0,0.050000
143.bmp,34,48,12,Non,2,45,3,0.210784
144.bmp,39,48,14,Non,2,47,2,0.236264
145.bmp,42,48,11,Non,4,45,1,0.151515
146.bmp,38,48,11,Non,2,42,0,0.224880
147.bmp,41,48,12,Non,3,57,3,0.167683
148.bmp,34,48,11,Non,2,38,0,0.114973
149.bmp,35,48,13,Non,3,49,4,0.256044
15.bmp,36,48,14,Non,3,57,8,0.170635
150.bmp,45,48,12,Non,3,43,0,0.297222
151.bmp,44,48,10,Non,3,45,1,0.168182
152.bmp,28,48,12,Non,2,37,0,0.130952
153.bmp,43,48,12,Non,4,50,2,0.158915
